Category,Academic_Technical_Term
Development & Economic Theories,Government Spending Theory (Keynesian Economics)
Development & Economic Theories,Capability Approach (Amartya Sen)
Development & Economic Theories,Human Capital Theory (Becker)
Development & Economic Theories,Trickle-Down Theory
Development & Economic Theories,Structural Change Theory (Lewis)
Development & Economic Theories,Keynesian Multiplier Theory
Development & Economic Theories,New Economics of Labour Migration (NELM)
Development & Economic Theories,Dependency Theory
Development & Economic Theories,Developmental Theory of Remittance
Development & Economic Theories,Comparative Advantage Theory (David Ricardo)
Development & Economic Theories,Global Value Chain (GVC) Theory
Development & Economic Theories,"Cut, Make and Trim (CMT)"
Development & Economic Theories,Industrial Relations Theory
Development & Economic Theories,Tripartite Dialogue
Development & Economic Theories,Sustainable Development Framework (Triple Bottom Line - TBL)
Development & Economic Theories,"People, Planet, Profit"
Development & Economic Theories,Gender and Development (GAD) Theory
Development & Economic Theories,Backward Linkage
Development & Economic Theories,Competitive Advantage
Development & Economic Theories,Economic Growth
Development & Economic Theories,Social Mobility
Development & Economic Theories,Knowledge Economy
Development & Economic Theories,Neoclassical Economics
Development & Economic Theories,GDP
Development & Economic Theories,Externality Internalization
Development & Economic Theories,Negative Externality
Development & Economic Theories,OECD (Organization for Economic Co-operation and Development)
"Labor, Social Theory & Corporate Responsibility",Corporate Social Responsibility (CSR)
"Labor, Social Theory & Corporate Responsibility",Ethical Sourcing
"Labor, Social Theory & Corporate Responsibility",Fair Wage
"Labor, Social Theory & Corporate Responsibility",Social Compliance
"Labor, Social Theory & Corporate Responsibility",Environmental Kuznets Curve (EKC)
"Labor, Social Theory & Corporate Responsibility",Conflict Theory (Karl Marx)
"Labor, Social Theory & Corporate Responsibility",Functional Theory (Durkheim)
"Labor, Social Theory & Corporate Responsibility",Anomie
"Labor, Social Theory & Corporate Responsibility",Relative Deprivation Theory (Ted Gurr)
"Labor, Social Theory & Corporate Responsibility",Social Disorganization Theory (Shaw & McKay)
"Labor, Social Theory & Corporate Responsibility",Zero Liquid Discharge Technology
"Labor, Social Theory & Corporate Responsibility",Green Factory Certification
Intellectual Property,Intellectual Property
Intellectual Property,Patent
Intellectual Property,Copyright
Intellectual Property,Trademark
Intellectual Property,Trade Secret
Intellectual Property,"Geographical Indications (GI) Act, 2013"
Intellectual Property,WIPO
Intellectual Property,WTO
Intellectual Property,"Department of Patents, Designs and Trademarks (DPDT)"
Agriculture & Technology,Precision Agriculture (PA)
Agriculture & Technology,GPS
Agriculture & Technology,Sustainable Agriculture
Agriculture & Technology,Drip Irrigation
Agriculture & Technology,Agro-Ecological Intensification (AEI)
Agriculture & Technology,Digital Agriculture
Agriculture & Technology,IoT (Internet of Things)
Agriculture & Technology,Climate-Smart Agriculture (CSA)
Education,Learning Outcome Framework
Education,Mismatch Theory / Skill Gap Theory
Education,Teacher Quality Theory
Education,Educational Inequality / Social Exclusion
Education,TVET (Technical and Vocational Education and Training)
Education,TVET for Development
Education,Knowledge Economy
Climate Change & Environmental Policy,Mitigation
Climate Change & Environmental Policy,Adaptation
Climate Change & Environmental Policy,Delta Plan 2100
Climate Change & Environmental Policy,Bangladesh Climate Change Strategy and Action Plan (BCCSAP)
Climate Change & Environmental Policy,Loss and Damage Fund
Climate Change & Environmental Policy,Green Climate Fund
Climate Change & Environmental Policy,Sustainable Development Goals (SDGs)
Climate Change & Environmental Policy,SDG 11 (Sustainable Cities)
Climate Change & Environmental Policy,SDG 12 (Responsible Consumption and Production)
Climate Change & Environmental Policy,SDG 13 (Climate Action)
Climate Change & Environmental Policy,SDG 14 (Life Below Water)
Climate Change & Environmental Policy,SDG 15 (Life on Land)
Climate Change & Environmental Policy,Urban Heat Island
Climate Change & Environmental Policy,Green City
Climate Change & Environmental Policy,Global Environmental Degradation
Climate Change & Environmental Policy,Green Economy Model
Climate Change & Environmental Policy,Sustainable Consumption and Production (SCP)
Climate Change & Environmental Policy,Carbon Tax
Climate Change & Environmental Policy,District Heating System
Climate Change & Environmental Policy,Precautionary Principle
Climate Change & Environmental Policy,Environmental Economics
Climate Change & Environmental Policy,Polluter Pays Principle (PPP)
Climate Change & Environmental Policy,Ecological Modernization Theory (EMT)
Climate Change & Environmental Policy,Renewable Energy Sources Act (EEG)
Climate Change & Environmental Policy,Green Belt Movement
Climate Change & Environmental Policy,Urban Greening Program
Climate Change & Environmental Policy,Green Hydrogen
Climate Change & Environmental Policy,Technological Environmentalism
Climate Change & Environmental Policy,Minamata Disease
Climate Change & Environmental Policy,Automated Waste Sorting System
Climate Change & Environmental Policy,Environmental Governance
Climate Change & Environmental Policy,Environmental Justice and Social Ecology
Climate Change & Environmental Policy,"Environmental Protection Act, 1986 (India)"
Climate Change & Environmental Policy,Right to Clean Environment
Climate Change & Environmental Policy,"Article 21, Indian Constitution"
Climate Change & Environmental Policy,Chipko Movement
Climate Change & Environmental Policy,Narmada Bachao Andolan
Climate Change & Environmental Policy,Environmental Justice Theory
Climate Change & Environmental Policy,Social Ecology
Climate Change & Environmental Policy,Resilience Theory
Climate Change & Environmental Policy,Adaptability
Climate Change & Environmental Policy,"Sustainable Development (Brundtland Report, 1987)"
Climate Change & Environmental Policy,Environmental Sociology
Climate Change & Environmental Policy,Development Economics
Climate Change & Environmental Policy,Ecosystem Approach
Climate Change & Environmental Policy,Ecologically Critical Area (ECA)
Climate Change & Environmental Policy,UNEP (United Nations Environment Programme)
Climate Change & Environmental Policy,FAO
Climate Change & Environmental Policy,Common Property Resource Theory
Climate Change & Environmental Policy,Common Pool Resources
Climate Change & Environmental Policy,"Tragedy of the Commons (Garrett Hardin, 1968)"
Climate Change & Environmental Policy,Environmental Governance Theory
Climate Change & Environmental Policy,Political Ecology
Climate Change & Environmental Policy,Public Policy
Climate Change & Environmental Policy,Participatory Governance
Climate Change & Environmental Policy,Environmental Kuznets Curve (EKC) Hypothesis
Climate Change & Environmental Policy,Green Industry Policy
Climate Change & Environmental Policy,Environmental Protection Theory
Climate Change & Environmental Policy,Hydro-Social Phenomenon
Climate Change & Environmental Policy,Environmental Externality Theory
Climate Change & Environmental Policy,Anthropocene Hypothesis
Climate Change & Environmental Policy,Green Economy
Climate Change & Environmental Policy,Green Jobs
Climate Change & Environmental Policy,Low Carbon Economy
Climate Change & Environmental Policy,Economic Sustainability
Climate Change & Environmental Policy,Environmental Sustainability
Climate Change & Environmental Policy,Social Inclusion
Climate Change & Environmental Policy,Green Agriculture
Climate Change & Environmental Policy,Sustainable Forestry
Climate Change & Environmental Policy,Eco-Industry
Climate Change & Environmental Policy,Green Transport
Climate Change & Environmental Policy,Bioaccumulation
Climate Change & Environmental Policy,Dioxin
Climate Change & Environmental Policy,Furan
Climate Change & Environmental Policy,Carcinogenic Compound
Climate Change & Environmental Policy,WHO (World Health Organization)
Climate Change & Environmental Policy,Microplastic
"Water Resources, Flood Management & River Governance",Integrated Water Resources Management (IWRM)
"Water Resources, Flood Management & River Governance",Global Water Partnership (GWP)
"Water Resources, Flood Management & River Governance",Rio Earth Summit
"Water Resources, Flood Management & River Governance",Hydrology Science
"Water Resources, Flood Management & River Governance",Bangladesh Water Development Board (BWDB)
"Water Resources, Flood Management & River Governance",River Pollution Management Treaty
"Water Resources, Flood Management & River Governance",Transboundary River Management
"Water Resources, Flood Management & River Governance",Community-Based River Management
"Water Resources, Flood Management & River Governance",World Meteorological Organization (WMO)
"Water Resources, Flood Management & River Governance",Integrated Flood Management (IFM)
"Water Resources, Flood Management & River Governance",Policy Integration
"Water Resources, Flood Management & River Governance",Ecosystem-based Flood Management
"Water Resources, Flood Management & River Governance",Climate-Resilient Infrastructure
"Water Resources, Flood Management & River Governance",Regional Cooperation
"Water Resources, Flood Management & River Governance",GIS & Remote Sensing
"Water Resources, Flood Management & River Governance",Traditional/Structural Theory of Flood Control
"Water Resources, Flood Management & River Governance",Modern/Non-Structural Theory of Flood Control
"Water Resources, Flood Management & River Governance",Integrated/Ecological Theory of Flood Control
"Water Resources, Flood Management & River Governance",Embankments
"Water Resources, Flood Management & River Governance",Dykes
"Water Resources, Flood Management & River Governance",Dredging
"Water Resources, Flood Management & River Governance",Retention Basin
"Water Resources, Flood Management & River Governance",Flood Wall
"Water Resources, Flood Management & River Governance",Early Warning System
"Water Resources, Flood Management & River Governance",Land Use Planning & Zoning
"Water Resources, Flood Management & River Governance",Community-Based Management
"Water Resources, Flood Management & River Governance",Flood Forecast Modeling
"Water Resources, Flood Management & River Governance",GIS Mapping
"Water Resources, Flood Management & River Governance",Total Disaster Management Framework
"Water Resources, Flood Management & River Governance",Flood Forecasting and Warning Centre (FFWC)
"Water Resources, Flood Management & River Governance",Ecohydrological Theory
"Water Resources, Flood Management & River Governance",Room for the River Policy
"Water Resources, Flood Management & River Governance",Sponge City Program
"Water Resources, Flood Management & River Governance",Nature-based Solutions (NbS)
"Water Resources, Flood Management & River Governance",Community Resilience Framework (CRF)
"Water Resources, Flood Management & River Governance",Disaster Risk Reduction (DRR)
"Water Resources, Flood Management & River Governance",Sendai Framework (2015-2030)
"Water Resources, Flood Management & River Governance",Post-Flood Rehabilitation
"Water Resources, Flood Management & River Governance",India-Dependent Hydropolitics
"Water Resources, Flood Management & River Governance",Teesta Plus (Mega Water Management Initiative)
"Water Resources, Flood Management & River Governance",Comprehensive River Restoration Plan
Plastic Pollution & Circular Economy,Plastic Waste Management Rules (2020)
Plastic Pollution & Circular Economy,Extended Producer Responsibility (EPR)
Plastic Pollution & Circular Economy,Zero Plastic Policy 2030
Plastic Pollution & Circular Economy,Sonali Bag
Plastic Pollution & Circular Economy,Biodegradable
Plastic Pollution & Circular Economy,PLA (Polylactic Acid)
Plastic Pollution & Circular Economy,PHA (Polyhydroxyalkanoate)
Plastic Pollution & Circular Economy,"3R Principle (Reduce, Reuse, Recycle)"
Plastic Pollution & Circular Economy,Circular Economy Framework (UNEP)
Plastic Pollution & Circular Economy,Smart Waste Segregation System
Plastic Pollution & Circular Economy,Circular Economy
Renewable Energy & Green Transition,Green Deal
Renewable Energy & Green Transition,Wind Cooperative Model
Renewable Energy & Green Transition,Energiewende (Energy Transition Model)
Renewable Energy & Green Transition,Feed-in Tariff
Renewable Energy & Green Transition,Public Participation
Renewable Energy & Green Transition,Net Zero Emission
Renewable Energy & Green Transition,Renewable Industrial Revolution
Renewable Energy & Green Transition,National Solar Mission
Renewable Energy & Green Transition,National Action Plan on Climate Change (NAPCC)
Renewable Energy & Green Transition,Solar Park Program
Renewable Energy & Green Transition,KUSUM Scheme
Renewable Energy & Green Transition,Green Delta Vision 2100
Renewable Energy & Green Transition,IDCOL Solar Home System
Renewable Energy & Green Transition,Trade-off
Renewable Energy & Green Transition,Environmental Trade-off Theory
Renewable Energy & Green Transition,Green Bangladesh Mission
Renewable Energy & Green Transition,Energy Transition Theory
Blue Economy & Marine Resources,Blue Economy
Blue Economy & Marine Resources,National Ocean Governance Authority
Blue Economy & Marine Resources,"IUU Fishing (Illegal, Unreported, and Unregulated Fishing)"
Blue Economy & Marine Resources,Blue Economy Hub
Blue Economy & Marine Resources,Ecological Economics Theory
Blue Economy & Marine Resources,Common-Pool Resource Theory
Blue Economy & Marine Resources,Sustainable Development Model
Blue Economy & Marine Resources,Carrying Capacity
Blue Economy & Marine Resources,Natural Capital
Blue Economy & Marine Resources,Governing the Commons (Elinor Ostrom)
Blue Economy & Marine Resources,Overexploitation
Forestry & Natural Resource Governance,Tanguar Haor
Forestry & Natural Resource Governance,Swamp Forest
Forestry & Natural Resource Governance,Mangrove Forest
Forestry & Natural Resource Governance,Forest Status Report
Forestry & Natural Resource Governance,Ecosystem Valuation
Forestry & Natural Resource Governance,"Ecosystem Services Framework (MEA, 2005)"
Forestry & Natural Resource Governance,"Resilience Theory (Holling, 1973)"
Forestry & Natural Resource Governance,Adaptive Co-management Theory
Forestry & Natural Resource Governance,Landscape Ecology Theory
Forestry & Natural Resource Governance,Sustainable Forest Governance Model
Forestry & Natural Resource Governance,Good Governance Framework
Forestry & Natural Resource Governance,Access to Information (RTI)
Forestry & Natural Resource Governance,Systems Approach to Resource Management
Forestry & Natural Resource Governance,Integrated Resource Management
Forestry & Natural Resource Governance,Cross-Sectoral Coordination
Forestry & Natural Resource Governance,Blue Economy Framework
Forestry & Natural Resource Governance,Good Governance Theory
Forestry & Natural Resource Governance,Interdisciplinary Approach
Forestry & Natural Resource Governance,Resource-Responsive Green Economy
Forestry & Natural Resource Governance,Renewable Resources
Forestry & Natural Resource Governance,Non-Renewable Resources
Political Science & Governance Theory,Checks and Balances
Political Science & Governance Theory,Unchecked Power
Political Science & Governance Theory,Separation of Powers (Montesquieu)
Political Science & Governance Theory,Dahl's Polyarchy Theory
Political Science & Governance Theory,Contestation and Participation
Political Science & Governance Theory,Sartori's Party System Theory
Political Science & Governance Theory,Responsible Opposition
Political Science & Governance Theory,Almond & Powell's Structural Functionalism
Political Science & Governance Theory,Interest Articulation
Political Science & Governance Theory,Interest Aggregation
Political Science & Governance Theory,Political Communication
Political Science & Governance Theory,Habermas's Deliberative Democracy Theory
Political Science & Governance Theory,Public Sphere
Political Science & Governance Theory,Rational Deliberation
Political Science & Governance Theory,Good Governance Theory (World Bank)
Political Science & Governance Theory,Accountability
Political Science & Governance Theory,Transparency
Political Science & Governance Theory,Rule of Law
Political Science & Governance Theory,Responsiveness
Political Science & Governance Theory,Pluralist Theory
Political Science & Governance Theory,Responsible Party Model (APSA)
Political Science & Governance Theory,Shadow Government
Political Science & Governance Theory,Executive Counter-Power
Political Science & Governance Theory,Institutional Safeguard
Political Science & Governance Theory,Confrontational Politics
Political Science & Governance Theory,New Public Management (NPM) Theory
Political Science & Governance Theory,"E-Participation, E-Transparency, E-Efficiency"
Political Science & Governance Theory,"Diffusion of Innovation Theory (Everett Rogers, 1962)"
Political Science & Governance Theory,Systems Theory (Ludwig von Bertalanffy)
Political Science & Governance Theory,"Public Value Theory (Moore, 1995)"
Political Science & Governance Theory,Public Value Creation
Political Science & Governance Theory,Information Assurance Model
Political Science & Governance Theory,Path Dependency Theory
Political Science & Governance Theory,Resource Dependency Theory
Political Science & Governance Theory,Capacity Building Approach
"Fourth Industrial Revolution, AI & Digital Economy",Industrie 4.0
"Fourth Industrial Revolution, AI & Digital Economy",Smart Factory
"Fourth Industrial Revolution, AI & Digital Economy",Human-Machine Collaboration
"Fourth Industrial Revolution, AI & Digital Economy",Triple Helix Model
"Fourth Industrial Revolution, AI & Digital Economy",Made in China 2025
"Fourth Industrial Revolution, AI & Digital Economy",Green Manufacturing
"Fourth Industrial Revolution, AI & Digital Economy",Automation Transition Fund
"Fourth Industrial Revolution, AI & Digital Economy",AI National Strategy
"Fourth Industrial Revolution, AI & Digital Economy",Digital India
"Fourth Industrial Revolution, AI & Digital Economy",Al for All
"Fourth Industrial Revolution, AI & Digital Economy",Al Startup Mission/Ecosystem
"Fourth Industrial Revolution, AI & Digital Economy",Smart Nation Initiative
"Fourth Industrial Revolution, AI & Digital Economy",Digital ID
"Fourth Industrial Revolution, AI & Digital Economy",e-Health
"Fourth Industrial Revolution, AI & Digital Economy",Smart Governance
"Fourth Industrial Revolution, AI & Digital Economy",e-Governance
"Fourth Industrial Revolution, AI & Digital Economy",Smart Citizen Services
"Fourth Industrial Revolution, AI & Digital Economy",Al Ethics
"Fourth Industrial Revolution, AI & Digital Economy",Data Protection
"Fourth Industrial Revolution, AI & Digital Economy",Green Al
"Fourth Industrial Revolution, AI & Digital Economy",Future of Work
"Fourth Industrial Revolution, AI & Digital Economy",Digital Economy
"Fourth Industrial Revolution, AI & Digital Economy",4IR (Fourth Industrial Revolution)
"Fourth Industrial Revolution, AI & Digital Economy",Al Skill Alliance
"Fourth Industrial Revolution, AI & Digital Economy","ILO, UNDP, ADB, WB"
"Fourth Industrial Revolution, AI & Digital Economy",UNDP Innovation Lab
"Fourth Industrial Revolution, AI & Digital Economy",National 4IR Observatory
"Fourth Industrial Revolution, AI & Digital Economy",Bangladesh 4IR Progress Report
"Fourth Industrial Revolution, AI & Digital Economy",Impact Evaluation Framework
"Fourth Industrial Revolution, AI & Digital Economy","Creative Destruction (Schumpeter, 1942)"
"Fourth Industrial Revolution, AI & Digital Economy","Skill-Biased Technological Change (Restrepo, 2018)"
"Fourth Industrial Revolution, AI & Digital Economy",Reskilling and Upskilling
"Fourth Industrial Revolution, AI & Digital Economy",Digital Literacy
"Fourth Industrial Revolution, AI & Digital Economy",Industry-Academia Linkage
"Fourth Industrial Revolution, AI & Digital Economy",Productivity Dividend
"Fourth Industrial Revolution, AI & Digital Economy","Digital Divide Theory (Castells, 2001)"
"Fourth Industrial Revolution, AI & Digital Economy",Inclusive Digital Growth
"Fourth Industrial Revolution, AI & Digital Economy","Just Transition (ILO, 2015)"
"Fourth Industrial Revolution, AI & Digital Economy",Reskilling Fund
"Fourth Industrial Revolution, AI & Digital Economy",Transition Allowance
"Fourth Industrial Revolution, AI & Digital Economy",Social Safety Net
"Fourth Industrial Revolution, AI & Digital Economy",Artificial Intelligence (AI)
"Fourth Industrial Revolution, AI & Digital Economy",Machine Learning
"Fourth Industrial Revolution, AI & Digital Economy",Deep Learning
"Fourth Industrial Revolution, AI & Digital Economy",Fintech
"Fourth Industrial Revolution, AI & Digital Economy",E-Commerce
E-Governance & Cyber Security,ICT (Information and Communication Technology)
E-Governance & Cyber Security,Government to Citizen (G2C)
E-Governance & Cyber Security,Government to Business (G2B)
E-Governance & Cyber Security,Government to Government (G2G)
E-Governance & Cyber Security,Government to Employee (G2E)
E-Governance & Cyber Security,Union Digital Center (UDC)
E-Governance & Cyber Security,A21 (Access to Information)
E-Governance & Cyber Security,E-Nothi
E-Governance & Cyber Security,Bangladesh National Portal
E-Governance & Cyber Security,E-Tendering & E-GP System
E-Governance & Cyber Security,Public-Private Partnership (PPP)
E-Governance & Cyber Security,Starlink Internet
E-Governance & Cyber Security,"Cyber Security Ordinance, 2025"
E-Governance & Cyber Security,"Digital Security Act, 2018"
E-Governance & Cyber Security,Cyber Crime
E-Governance & Cyber Security,Cyber Tribunal
E-Governance & Cyber Security,Cyber Appellate Tribunal
E-Governance & Cyber Security,Cyber Investigation Unit
E-Governance & Cyber Security,Global Threat Intelligence Network
E-Governance & Cyber Security,Interpol
E-Governance & Cyber Security,Cyberbullying
E-Governance & Cyber Security,National CERT (Computer Emergency Response Team)
E-Governance & Cyber Security,Inclusive Governance Strategy
E-Governance & Cyber Security,AI & Data Governance
Civil Society & Pressure Group Theory,Civil Society
Civil Society & Pressure Group Theory,Countervailing Force
Civil Society & Pressure Group Theory,Legitimizing Force
Civil Society & Pressure Group Theory,Resistance
Civil Society & Pressure Group Theory,Civil Society as Sphere of Particularity (Hegel)
Civil Society & Pressure Group Theory,Ethical Totality
Civil Society & Pressure Group Theory,Civil Society as Base of Capitalist Power (Marx)
Civil Society & Pressure Group Theory,Economic Base
Civil Society & Pressure Group Theory,Civil Society as Site of Hegemony (Gramsci)
Civil Society & Pressure Group Theory,Hegemony
Civil Society & Pressure Group Theory,Integral State
Civil Society & Pressure Group Theory,Civil Society Protects Rights against the State (John Locke)
Civil Society & Pressure Group Theory,Associations Strengthen Democracy (Alexis de Tocqueville)
Civil Society & Pressure Group Theory,Social Capital (Robert Putnam)
Civil Society & Pressure Group Theory,Neoliberal Perspective
Civil Society & Pressure Group Theory,State Downsizing
Civil Society & Pressure Group Theory,Welfare Gap
Civil Society & Pressure Group Theory,Post-Structuralist View (Foucault)
Civil Society & Pressure Group Theory,Power Circulates through Society
Civil Society & Pressure Group Theory,Governmentality
Civil Society & Pressure Group Theory,Global Civil Society Theory
Civil Society & Pressure Group Theory,INGO/Transnational Advocacy Networks
Civil Society & Pressure Group Theory,Cooperative Relationship
Civil Society & Pressure Group Theory,Participatory Governance
Civil Society & Pressure Group Theory,Adversarial Relationship
Civil Society & Pressure Group Theory,Resistance Relationship
Civil Society & Pressure Group Theory,Democratic Resistance
Civil Society & Pressure Group Theory,Accountability Mechanism
Civil Society & Pressure Group Theory,Rights-Based Approach
Civil Society & Pressure Group Theory,Pressure Group
Civil Society & Pressure Group Theory,Institutional Interest Groups
Civil Society & Pressure Group Theory,Associational Interest Groups
Civil Society & Pressure Group Theory,Non-Associational Interest Groups
Civil Society & Pressure Group Theory,Anomic Interest Groups
Civil Society & Pressure Group Theory,Cause-Oriented Groups
Civil Society & Pressure Group Theory,Economic Interest Groups
Civil Society & Pressure Group Theory,Political Action Groups
Civil Society & Pressure Group Theory,Material Interest
Civil Society & Pressure Group Theory,"FBCCI, BGMEA"
Women's Empowerment & Feminist Theory,Amartya Sen's Capability Approach
Women's Empowerment & Feminist Theory,Naila Kabeer's Empowerment Model
Women's Empowerment & Feminist Theory,Resources
Women's Empowerment & Feminist Theory,Agency
Women's Empowerment & Feminist Theory,Liberal Feminism
Women's Empowerment & Feminist Theory,Post-Structural Feminism
Women's Empowerment & Feminist Theory,Achievements
Women's Empowerment & Feminist Theory,Integrated Feminist Framework
Women's Empowerment & Feminist Theory,Patriarchal Social System
